C535610	cutis verticis gyrata
D012001	phonophobia
D012019	reflex sympathetic dystrophy
D012078	renal artery stenosis
D012120	bad breath
D012128	respiratory distress
D012131	respiratory failure
D012131	Respiratory insufficiency
D012131	respiratory depression
D012131	respiratory arrest
D012131	respiratory dysfunction
D012135	wheezing
D012140	respiratory and cardiovascular depression
D012141	upper respiratory tract infection
D012163	retinal detachment
D012164	pigmentary retinal deposits
D012164	retinal toxicity
D012170	retinal vein occlusion
D012206	Rhabdomyolysis
D012206	rhabdomyolysis
D012216	rheumatologic disorders
D012216	rheumatologic disease
D012216	rheumatologic diseases
D012514	Kaposi's sarcoma
D012532	scabies
D012559	schizophrenic
D012559	schizophrenia
D012559	Schizophrenia
D012640	convulsion
D012640	Seizure
D012640	seizure
D012640	clonic fits
D012640	fits
D012640	convulsions
D012640	convulsive
D012640	seizures
D012640	Seizures
D012640	generalized seizures
D012640	convulsants
D012678	loss of pinprick sensation
D012700	serositis
D012735	sexual dysfunction
D012735	Sexual dysfunctions
D012735	Sexual dysfunction
D012735	SD
D012769	shock
D012769	circulatory failure
D012798	hypersalivation
D012804	sinus bradycardia
D012817	gastrointestinal symptoms
D012817	gastrointestinal problems
D012848	sinoatrial block
D012878	skin cancers
D012893	sleep disturbances
D012893	disturbances of sleep-wake rhythm
D012893	daytime sleepiness
D012893	sleep disturbance
D012893	sleeping difficulties
D013035	spasm
D013118	myelo-optic neuropathy
D013118	subpial necrosis
D013118	myelopathy
D013118	cord damage
D013163	splenomegaly
D013174	sporotrichosis
D013226	status epilepticus
D013226	SE
D013262	Stevens-Johnson syndrome
D013262	Stevens-Johnson syndromes
D013274	forestomach tumors
D013274	colorectal, breast, pancreaticobiliary, gastric, renal cell and head and neck cancers
D013274	gastric adenocarcinoma
D013280	stomatitis
D013290	streptococcal endophthalmitis
D013345	subarachnoid hemorrhage
D013345	intracranial bleeding
D013345	subarachnoid haemorrhage
D013375	Withdrawal-emergent rabbit syndrome
D013375	withdrawal symptoms
D013375	withdrawal-emergent RS
D013471	sunburn
D013575	syncope
D013585	synovitis
D013610	tachycardia
D013610	tachyarrhythmias
D013610	tachyarrhythmia
D013611	AVRT
D013611	atrioventricular reentrant tachycardia
D013617	supraventricular tachyarrhythmias
D013617	supraventricular tachycardia
D013617	supraventricular tachyarrhythmia
D013617	atrial tachycardia
D013684	telangiectasis
D013705	temporomandibular disorders
D013746	tetany
D013746	tetanus
D013746	tetanic
D013746	twitch
D013789	thalassemic
D013921	thrombocytopenia
D013921	HIT
D013921	HITT
D013923	thromboembolic
D013927	thrombi
D013927	thrombotic
D013927	thrombosis
D013927	thrombus
D013927	HITT
D013959	Thyroid disorders
D013971	thyrotoxicosis
D014012	tinnitus
D014012	Idiopathic subjective tinnitus
D014012	IST
D014202	Tremor
D014202	tremors
D014202	tremor
D014277	trigeminal neuralgia
D014313	masseter spasm
D014376	tuberculosis
D014397	pulmonary tuberculosis
D014456	ulcers
D014456	ulcer
D014474	Loss of consciousness
D014474	loss of consciousness
D014511	uremia
D014516	ureteric cancer
D014516	cancer of the ureter
D014516	cancer of the renal pelvis, ureter or bladder
D014523	urothelial cancer
D014549	incontinence
D014549	urinary incontinence
D014550	stress incontinence
D014552	urinary tract infection
D014581	urticaria
D014581	urtication
D014625	clear cell adenocarcinoma of the vagina
D014652	renovascular disease
D014652	microangiopathies
D014652	intraarterial lesions
D014652	arteriopathic
D014652	arterial injury
D014657	vasculitis
D014693	ventricular fibrillation
D014693	Ventricular tachyarrhythmias
D014717	vertigo
D014766	viremia
D014777	viral infection
D014786	loss of vision
D014786	a loss of visual acuity
D014786	blurred vision
D014786	Visual toxicity
D014786	visual disturbance
D014786	pain and visual disturbance in the ipsilateral eye
D014786	audiovisual toxicity
D014786	Visual and auditory neurotoxicity
D014786	Ocular and auditory toxicity
D014786	visual or auditory toxicity
D014786	visual loss
D014826	vocal fold palsy
D014839	emesis
D014839	vomiting
D014890	Wegener's granulomatosis
D014927	Wolff-Parkinson-White syndrome
D014927	WPW syndrome
D014947	endothelial injury
D014947	trauma
D014947	traumatic
D014987	xerostomia
D014987	dry mouth
D015043	Zollinger-Ellison syndrome
D015175	prolactinomas
D015175	prolactinoma
D015179	colorectal, breast, pancreaticobiliary, gastric, renal cell and head and neck cancers
D015179	colorectal, breast and head and neck cancers
D015212	inflammatory bowel disease
D015417	motor and sensory impairment
D015430	weight gain
D015431	decreased thymus (P < 0.001) and bodyweights
D015431	weight loss
D015433	membranoproliferative glomerulopathy
D015458	T-cell leukaemia or lymphoma
D015458	T-cell lymphoblastic leukaemia and lymphoma
D015470	acute leukemia
D015470	acute nonlymphocytic leukemia
D015658	human immunodeficiency virus
D015658	human immunodeficiency virus (HIV)-infected
D015658	human immunodeficiency virus (HIV) co-infection
D015658	HBV-HIV co-infected
D015658	human immunodeficiency virus infection
D015658	HIV-infected
D015658	HIV antibody-positive
D015658	HBV and HIV co-infected
D015658	HIV co-infection
D015746	abdominal pain
D015775	stress fractures
D015814	ocular hypotensive
D015835	restricted right eye movement
D015877	miosis
D015878	mydriasis
D016055	retention of urine
D016055	volume retention
D016063	intraoperative and postoperative bleeding
D016171	torsades de pointes
D016171	TdP
D016171	Torsades de pointes
D016171	TDP
D016399	T-cell leukaemia or lymphoma
D016399	T-cell lymphoblastic leukaemia and lymphoma
D016491	peripheral vascular disease
D016534	increase in heart rate and cardiac output
D016584	panic disorders
D016584	panic disorder
D016638	critically ill
D016736	antiphospholipid syndrome
D016751	hepatitis E
D016889	endometrial cancer
D016889	endometrial hyperplasia or cancer
D017086	beta-thalassemic
D017086	beta-thalassemia
D017093	liver failure
D017093	hepatic failure
D017093	renal and hepatic failure
D017109	akathisia
D017109	Akathisia
D017114	ALF
D017114	acute renal failure and hepatic failure
D017114	Acute liver failure
D017114	fulminant hepatitis
D017114	acute hepatitis
D017114	fulminant hepatic failure
D017114	acute liver failure
D017116	low back and right leg pain
D017180	ventricular tachycardias
D017180	ventricular tachycardia
D017202	myocardial ischemia
D017202	ischemic injury
D017254	leukemic infiltration
D017542	aneurysmal rupture
D017542	ruptured aneurysms
D017545	TAA
D017545	thoracic aortic aneurysm
D017674	hypophosphatemia
D017682	myocardial stunning
D017695	tissue injury
D017695	tissue damage
D017880	transverse limb deficiency
D018149	glucose tolerance curves
D018262	clear cell adenocarcinoma
D018262	clear cell adenocarcinoma of the vagina
D018376	cardiovascular alterations
D018376	cardiovascular malformations
D018376	Cardiovascular alterations
D018476	akinetic
D018487	left ventricular systolic and diastolic dysfunction
D018636	hypoplastic left heart syndrome
D018754	biventricular dysfunction
D018754	impairment of ventricular function
D018771	arthralgias
D018805	septicaemia
D018805	septicemia
D018805	sepsis
D018879	ventricular ectopic beats
D018879	premature ventricular contractions
D018908	muscle weakness
D018908	weakness
D018908	weakness of extremities
D019106	intraoperative and postoperative bleeding
D019337	hematological malignancies
D019698	chronically infected with hepatitis C virus
D019698	hepatitis C
D019698	CHC
D019698	chronic hepatitis C
D019954	incomprehensible shouts
D019958	disruptive behaviors
D019964	mood disorders
D019964	mood disorder
D019965	Organic mental disorder
D019965	organic psychotic
D019965	organic mental disorder
D019965	organic mental disorders
D019966	substance abuse
D019966	drug dependency
D019966	drug dependence
D019966	drug abuse
D019966	sugar dependency
D019967	psychotic syndromes belonging predominantly to the schizophrenia group
D019969	amphetamine abuse
D019970	CIMD
D019970	cocaine addiction
D019970	cocaine abuse
D020018	low sexual desire
D020078	Neuroinflammation
D020141	Haemodilution
D020141	haemodilution
D020141	impaired blood clotting
D020141	hemodilution
D020146	putaminal hemorrhage
D020181	obstructive (P less than 0.05) and central apnoea
D020182	obstructive (P less than 0.05) and central apnoea
D020250	postoperative emetic symptoms
D020250	nausea, vomiting
D020250	postoperative nausea and vomiting
D020257	cardiac remodelling
D020258	opistothonus, sensory and motor dysfunction
D020258	Neurologic toxicity
D020258	Neurotoxicity
D020258	neurological and cardiovascular toxicity
D020258	neurotoxicity
D020258	neurotoxic
D020275	Guillain-Barr   syndrome
D020293	cerebral vasculitis
D020293	Cerebral vasculitis
D020300	intracranial hemorrhage
D020301	vasospasm
D020326	migraineurs (without aura)
D020335	lower extremity weakness
D020345	necrotizing enterocolitis
D020388	Duchenne dystrophy
D020425	Compression neuropathy of the radial nerve
D020428	femoral nerve palsy
D020447	parasomnias
D020511	disorder of neuromuscular transmission
D020521	stroke
D020521	acute stroke
D020521	Stroke
D020521	strokes
D020522	mantle cell lymphoma
D020795	photophobia
D020820	movement abnormalities
D020820	asterixis
D020879	neuromuscular blockade
D020896	hypovolemia
D020922	nocturnal leg cramps
D020968	brachial neuritis
D020968	brachial plexitis
D022124	hyperammonemia
D023921	coronary arterial stenosis
D025242	spondyloarthropathy
D028361	mitochondrial impairment
D028361	mitochondrial disorders
D028361	mitochondrial toxicity
D028361	mitochondrial dysfunction
D028361	Mitochondrial abnormalities
D028361	mitochondrial abnormalities
D028361	mitochondrial damage
D029424	chronic obstructive pulmonary disease
D029424	chronic airflow obstruction
D031300	retinal vasculitis
D031901	gestational trophoblastic disease
D034141	hypoalbuminemia
D034381	hearing loss
D034381	hearing impairment
D041881	acute cholecystitis
D042882	gall stones
D042882	gall bladder stones
D042882	gallstones
D042882	gall stone
D042882	gallstone
D042882	gall stone disease
D044342	nutritional deficiency
D047508	massive hepatocellular necrosis
D047508	extensive hepatocellular necrosis
D047508	massive hepatic necrosis
D050197	atherosclerotic
D050197	atherosclerotic obstruction
D050197	Atherosclerosis
D050197	atherosclerosis
D050197	premature atherosclerosis
D050197	atherosclerotic lesion
D050723	fractures
D050723	fracture
D051436	chronic kidney disease
D051436	chronic renal damage
D051436	chronic allograft nephropathy
D051436	chronic renal insufficiency
D051437	renal and liver dysfunction
D051437	oliguric renal failure
D051437	renal and hepatic dysfunction
D051437	pulmonary and renal insufficiency
D051437	renal failure
D051437	renal insufficiency
D052016	mucositis
D052177	cystic renal diseases
D053040	Nephrolithiasis
D053040	nephrolithiasis
D053608	stuporous
D053609	lethargy
D054058	acute coronary insufficiency
D054059	coronary occlusion
D054092	patent foramen ovale
D054138	sinus arrest
D054138	Sinus arrest
D054198	lymphoblastic lymphoma
D054198	acute lymphoblastic leukemia
D054198	acute lymphoblastic leucemia
D054198	ALL
D054218	acute T-lymphocytic leukemia
D054537	AV block
D054556	venous thromboembolism
D054556	VTE
D054559	hyperphosphatemia
D055154	dysphonia
D056486	hepatic adverse effects
D056486	abnormalities of liver function
D056486	liver damage
D056486	abnormal liver function
D056486	Granulomatous hepatitis
D056486	hepatic damage
D056486	hepatotoxic
D056486	acute hepatitis-like syndrome
D056486	Cholestatic hepatitis
D056486	Toxic hepatitis
D056486	hepatic injury
D056486	cholestatic hepatitis
D056486	Hepatitis
D056486	acute hepatitis-like illness
D056486	drug-induced hepatitis
D056486	toxic hepatitis
D056486	liver injury
D056486	liver and kidney toxicity
D056486	hepatotoxicity
D056486	hepatocellular injury
D056486	hepatitis
D056784	leukoencephalopathy
D056784	white matter abnormalities
D057049	Thrombotic microangiopathy
D057049	thrombotic microangiopathy
D057049	TMA
D057085	tooth wear
D058186	acute renal dysfunction
D058186	sudden deterioration of renal function
D058186	acute renal failure and hepatic failure
D058186	renal and hepatic failure
D058186	acute renal failure
D058447	pain and visual disturbance in the ipsilateral eye
D058447	ocular pain
D059350	chronic pain
D059352	musculoskeletal pain
D059606	polydipsia
D059787	acute pain
D060831	hand-foot syndrome
D060845	hoarding
D061205	calcification of the artery
D061205	artery calcification
D062787	overdosages
D062787	overdose
D062787	cocaine overdose
D062787	overdosage
D063646	carcinogenesis
D063806	painful muscle
D063806	nociceptive muscle
D063806	myalgia
D063806	myalgias
D063806	muscle pain
D064420	toxicities
D064420	adverse drug reactions
D064420	adverse drug reaction
D064420	toxicity
D064420	Toxicity
D064420	drug toxicity
D066126	cardiac toxicity
D066126	cardiotoxic
D066126	cardiotoxicity
D066126	Cardiac toxicity
